"","Entidad","delitos","cifra_negra","porcentaje","anio","zona"
"2","Aguascalientes",296392,276549,93.30514994,2020,"Centronorte"
"3","Baja California",744767,668607,89.773983,2020,"Noroeste"
"4","Baja California Sur",132805,120662,90.85651896,2020,"Noroeste"
"5","Campeche",167140,152942,91.50532488,2020,"Sureste"
"6","Coahuila de Zaragoza",591744,548571,92.70410853,2020,"Noreste"
"7","Colima",143329,129954,90.66832253,2020,"Oeste"
"8","Chiapas",559315,521543,93.24673932,2020,"Suroeste"
"9","Chihuahua",674317,625799,92.80486774,2020,"Noroeste"
"10","Ciudad de México",3917649,3627738,92.59987304,2020,"Centrosur"
"11","Durango",292819,270465,92.36593254,2020,"Noroeste"
"12","Guanajuato",1248942,1149523,92.03974244,2020,"Centronorte"
"13","Guerrero",726918,707247,97.29391761,2020,"Suroeste"
"14","Hidalgo",509575,477405,93.68689594,2020,"Oriente"
"15","Jalisco",1956967,1817779,92.8875653,2020,"Oeste"
"16","Estado de México",4958809,4634972,93.46946011,2020,"Centrosur"
"17","Michoacán de Ocampo",712787,667084,93.58812661,2020,"Oeste"
"18","Morelos",523541,489234,93.44712257,2020,"Centrosur"
"19","Nayarit",187387,176103,93.97823755,2020,"Oeste"
"20","Nuevo León",1290138,1187236,92.02395403,2020,"Noreste"
"21","Oaxaca",626893,577659,92.14634714,2020,"Suroeste"
"22","Puebla",1447936,1371096,94.69313561,2020,"Oriente"
"23","Querétaro",528123,489129,92.61649275,2020,"Centronorte"
"24","Quintana Roo",453322,429761,94.80259065,2020,"Sureste"
"25","San Luis Potosí",647598,611985,94.5007551,2020,"Centronorte"
"26","Sinaloa",479589,458623,95.6283401,2020,"Noroeste"
"27","Sonora",709816,673778,94.9229096,2020,"Noroeste"
"28","Tabasco",601475,563486,93.68402677,2020,"Sureste"
"29","Tamaulipas",514417,483058,93.90397285,2020,"Noreste"
"30","Tlaxcala",258026,243418,94.33855503,2020,"Oriente"
"31","Veracruz de Ignacio de la Llave",1085778,1013623,93.35453472,2020,"Oriente"
"32","Yucatán",360050,338755,94.08554367,2020,"Sureste"
