"","total","mes","anio"
"1",2155368,"ene. 2020",2020
"2",2014488,"ago. 2012",2012
"3",2606136,"may. 2016",2016
"4",2088287,"may. 2019",2019
"5",1942569,"ago. 2020",2020
"6",2210954,"may. 2013",2013
"7",2590173,"mar. 2016",2016
"8",2232995,"ago. 2017",2017
"9",2180274,"may. 2020",2020
"10",3331275,"dic. 2013",2013
"11",2029833,"sep. 2020",2020
"12",2329842,"may. 2018",2018
"13",2263765,"jun. 2019",2019
"14",2234930,"jul. 2016",2016
"15",2083193,"jul. 2021",2021
"16",3481388,"dic. 2018",2018
"17",2907701,"jun. 2021",2021
"18",2296239,"feb. 2018",2018
"19",2467860,"feb. 2016",2016
"20",2359796,"mar. 2019",2019
"21",1784132,"jul. 2012",2012
"22",2089234,"may. 2015",2015
"23",1734514,"abr. 2018",2018
"24",2396074,"sep. 2017",2017
"25",3003460,"dic. 2012",2012
"26",1853271,"jul. 2013",2013
"27",2256954,"oct. 2018",2018
"28",2348025,"oct. 2020",2020
"29",3052136,"jun. 2016",2016
"30",2219677,"sep. 2018",2018
"31",1798641,"ene. 2021",2021
"32",2509556,"oct. 2021",2021
"33",1674660,"abr. 2013",2013
"34",1969158,"oct. 2019",2019
"35",3699411,"dic. 2021",2021
"36",2909226,"nov. 2013",2013
"37",2549083,"nov. 2012",2012
"38",2883984,"feb. 2020",2020
"39",2081540,"jun. 2012",2012
"40",2236057,"ago. 2021",2021
"41",2712490,"nov. 2019",2019
"42",3262604,"nov. 2017",2017
"43",3014002,"ago. 2014",2014
"44",1576156,"ene. 2012",2012
"45",2496454,"mar. 2021",2021
"46",1735976,"sep. 2012",2012
"47",1652817,"abr. 2019",2019
"48",3293042,"mar. 2014",2014
"49",1790805,"ago. 2019",2019
"50",1850180,"ago. 2015",2015
"51",2374745,"may. 2017",2017
"52",2269508,"oct. 2013",2013
"53",3060267,"may. 2014",2014
"54",2122672,"mar. 2012",2012
"55",4391401,"dic. 2016",2016
"56",2174669,"feb. 2013",2013
"57",3257200,"dic. 2015",2015
"58",1990846,"jul. 2018",2018
"59",2553733,"mar. 2018",2018
"60",2647417,"jun. 2017",2017
"61",2845867,"nov. 2015",2015
"62",2026004,"sep. 2015",2015
"63",3418897,"dic. 2020",2020
"64",1586553,"ene. 2015",2015
"65",2341426,"mar. 2013",2013
"66",1834085,"oct. 2012",2012
"67",2113078,"sep. 2013",2013
"68",3854426,"nov. 2014",2014
"69",2269956,"abr. 2014",2014
"70",2674830,"oct. 2016",2016
"71",1921718,"ene. 2018",2018
"72",3613013,"dic. 2017",2017
"73",1749254,"abr. 2017",2017
"74",1897141,"abr. 2016",2016
"75",3270875,"jun. 2014",2014
"76",2007182,"ene. 2016",2016
"77",1791336,"ene. 2013",2013
"78",3128877,"nov. 2018",2018
"79",2546466,"mar. 2020",2020
"80",3092163,"nov. 2020",2020
"81",2608845,"jun. 2020",2020
"82",1695913,"abr. 2021",2021
"83",1851522,"abr. 2020",2020
"84",2202970,"ago. 2013",2013
"85",2345073,"ago. 2016",2016
"86",1762021,"jul. 2019",2019
"87",1856348,"ene. 2017",2017
"88",3081231,"feb. 2014",2014
"89",4741254,"dic. 2014",2014
"90",2234776,"may. 2021",2021
"91",2292100,"ene. 2014",2014
"92",1587102,"abr. 2015",2015
"93",3339812,"nov. 2021",2021
"94",2559188,"sep. 2016",2016
"95",2286678,"feb. 2021",2021
"96",2076492,"feb. 2015",2015
"97",2217897,"sep. 2021",2021
"98",1458683,"abr. 2012",2012
"99",1681639,"jul. 2015",2015
"100",1927374,"may. 2012",2012
"101",2312057,"feb. 2019",2019
"102",2512786,"oct. 2017",2017
"103",2521663,"jun. 2018",2018
"104",2463063,"jun. 2015",2015
"105",2571140,"jun. 2013",2013
"106",2788103,"dic. 2019",2019
"107",2137835,"ago. 2018",2018
"108",1801390,"ene. 2019",2019
"109",2137930,"feb. 2012",2012
"110",2615913,"oct. 2014",2014
"111",2000011,"oct. 2015",2015
"112",1856252,"jul. 2020",2020
"113",2004039,"mar. 2015",2015
"114",1972061,"jul. 2017",2017
"115",3809736,"nov. 2016",2016
"116",2682240,"sep. 2014",2014
"117",2288604,"mar. 2017",2017
"118",2314433,"feb. 2017",2017
"119",2453790,"jul. 2014",2014
"120",1890037,"sep. 2019",2019
