"","FAC_ELE","victima"
"1",472,0
"2",472,0
"3",472,0
"4",236,1
"5",365,0
"6",365,1
"7",729,0
"8",912,1
"9",365,0
"10",1004,1
"11",602,1
"12",401,0
"13",602,0
"14",201,1
"15",226,0
"16",453,0
"17",1358,0
"18",679,0
"19",679,0
"20",729,0
"21",729,1
"22",365,0
"23",729,1
"24",911,0
"25",657,0
"26",328,1
"27",328,1
"28",328,1
"29",169,0
"30",169,1
"31",169,0
"32",844,1
"33",380,0
"34",570,1
"35",949,1
"36",380,1
"37",570,0
"38",144,0
"39",287,0
"40",431,0
"41",287,1
"42",1090,0
"43",817,0
"44",1090,0
"45",272,1
"46",528,0
"47",352,1
"48",176,1
"49",528,1
"50",528,0
"51",375,0
"52",187,1
"53",562,0
"54",749,0
"55",1124,0
"56",442,0
"57",883,1
"58",221,0
"59",662,1
"60",883,0
"61",205,0
"62",821,0
"63",410,0
"64",821,0
"65",369,1
"66",369,0
"67",369,0
"68",554,0
"69",369,0
"70",306,1
"71",153,1
"72",460,1
"73",766,1
"74",894,0
"75",357,1
"76",357,0
"77",179,1
"78",357,0
"79",402,1
"80",603,0
"81",402,0
"82",1005,0
"83",201,0
"84",503,0
"85",335,0
"86",168,0
"87",335,0
"88",503,1
"89",236,0
"90",118,1
"91",118,0
"92",354,0
"93",118,0
"94",428,0
"95",642,0
"96",642,0
"97",428,0
"98",428,0
"99",765,1
"100",382,1
"101",765,0
"102",375,0
"103",563,1
"104",750,0
"105",563,0
"106",211,0
"107",422,1
"108",1267,0
"109",211,0
"110",422,0
"111",259,0
"112",259,0
"113",480,1
"114",720,1
"115",480,1
"116",240,1
"117",633,0
"118",422,0
"119",422,0
"120",422,0
"121",118,0
"122",118,0
"123",354,0
"124",118,1
"125",359,1
"126",718,0
"127",180,0
"128",359,0
"129",539,0
"130",356,0
"131",356,0
"132",356,0
"133",178,1
"134",940,0
"135",752,0
"136",564,0
"137",202,0
"138",202,0
"139",202,0
"140",202,0
"141",202,1
"142",684,0
"143",456,0
"144",456,0
"145",456,0
"146",1152,0
"147",461,0
"148",461,0
"149",461,0
"150",655,0
"151",874,1
"152",655,0
"153",1092,1
"154",397,0
"155",1192,0
"156",397,0
"157",795,1
"158",397,1
"159",1248,1
"160",624,0
"161",208,0
"162",208,0
"163",832,0
"164",199,0
"165",398,0
"166",796,1
"167",597,1
"168",995,1
"169",621,0
"170",414,0
