"","total","FECHA"
"2020-02-19",1,2020-02-19
"2020-02-22",2,2020-02-22
"2020-02-23",1,2020-02-23
"2020-02-25",1,2020-02-25
"2020-02-26",1,2020-02-26
"2020-02-27",2,2020-02-27
"2020-02-28",3,2020-02-28
"2020-02-29",5,2020-02-29
"2020-03-01",11,2020-03-01
"2020-03-02",19,2020-03-02
"2020-03-03",19,2020-03-03
"2020-03-04",15,2020-03-04
"2020-03-05",12,2020-03-05
"2020-03-06",16,2020-03-06
"2020-03-07",21,2020-03-07
"2020-03-08",29,2020-03-08
"2020-03-09",69,2020-03-09
"2020-03-10",60,2020-03-10
"2020-03-11",64,2020-03-11
"2020-03-12",94,2020-03-12
"2020-03-13",112,2020-03-13
"2020-03-14",106,2020-03-14
"2020-03-15",119,2020-03-15
"2020-03-16",147,2020-03-16
"2020-03-17",148,2020-03-17
"2020-03-18",154,2020-03-18
"2020-03-19",138,2020-03-19
"2020-03-20",227,2020-03-20
"2020-03-21",158,2020-03-21
"2020-03-22",180,2020-03-22
"2020-03-23",263,2020-03-23
"2020-03-24",209,2020-03-24
"2020-03-25",251,2020-03-25
"2020-03-26",298,2020-03-26
"2020-03-27",321,2020-03-27
"2020-03-28",311,2020-03-28
"2020-03-29",303,2020-03-29
"2020-03-30",427,2020-03-30
"2020-03-31",338,2020-03-31
"2020-04-01",543,2020-04-01
"2020-04-02",484,2020-04-02
"2020-04-03",499,2020-04-03
"2020-04-04",493,2020-04-04
"2020-04-05",489,2020-04-05
"2020-04-06",657,2020-04-06
"2020-04-07",567,2020-04-07
"2020-04-08",710,2020-04-08
"2020-04-09",705,2020-04-09
"2020-04-10",1077,2020-04-10
"2020-04-11",808,2020-04-11
"2020-04-12",872,2020-04-12
"2020-04-13",1072,2020-04-13
"2020-04-14",1020,2020-04-14
"2020-04-15",1191,2020-04-15
"2020-04-16",1165,2020-04-16
"2020-04-17",1342,2020-04-17
"2020-04-18",1410,2020-04-18
"2020-04-19",1259,2020-04-19
"2020-04-20",2079,2020-04-20
"2020-04-21",1372,2020-04-21
"2020-04-22",1436,2020-04-22
"2020-04-23",1473,2020-04-23
"2020-04-24",1751,2020-04-24
"2020-04-25",1817,2020-04-25
"2020-04-26",1624,2020-04-26
"2020-04-27",1985,2020-04-27
"2020-04-28",1742,2020-04-28
"2020-04-29",1570,2020-04-29
"2020-04-30",2145,2020-04-30
