id,localidad,f_retiro,N_semana,mes,anio,afidos
2,Mococha,24/11/2017,47,noviembre,2017,0
3,Mococha,29/11/2017,48,noviembre,2017,0
4,Mococha,30/11/2017,48,noviembre,2017,0
5,Mococha,03/12/2017,49,diciembre,2017,0
6,Mococha,06/12/2017,49,diciembre,2017,6
7,Mococha,08/12/2017,49,diciembre,2017,0
8,Mococha,09/12/2017,49,diciembre,2017,0
9,Mococha,11/12/2017,50,diciembre,2017,0
10,Mococha,12/12/2017,50,diciembre,2017,0
11,Mococha,13/12/2017,50,diciembre,2017,0
12,Mococha,14/12/2017,50,diciembre,2017,0
13,Mococha,15/12/2017,50,diciembre,2017,0
14,Mococha,18/12/2017,51,diciembre,2017,16
15,Mococha,20/12/2017,51,diciembre,2017,17
16,Mococha,21/12/2017,51,diciembre,2017,6
17,Mococha,26/12/2017,52,diciembre,2017,0
18,Mococha,27/12/2017,52,diciembre,2017,3
19,Mococha,28/12/2017,52,diciembre,2017,2
20,Mococha,29/12/2017,52,diciembre,2017,1
21,Mococha,02/01/2018,1,enero,2018,1
22,Mococha,03/01/2018,1,enero,2018,0
23,Mococha,05/01/2018,1,enero,2018,2
24,Mococha,08/01/2018,2,enero,2018,4
25,Mococha,09/01/2018,2,enero,2018,0
26,Mococha,10/01/2018,2,enero,2018,0
27,Mococha,11/01/2018,2,enero,2018,0
28,Mococha,11/01/2018,2,enero,2018,1
29,Mococha,12/01/2018,2,enero,2018,0
30,Mococha,15/01/2018,3,enero,2018,1
31,Mococha,16/01/2018,3,enero,2018,0
32,Mococha,16/01/2018,3,enero,2018,0
33,Mococha,17/01/2018,3,enero,2018,0
34,Mococha,18/01/2018,3,enero,2018,0
35,Mococha,19/01/2018,3,enero,2018,1
36,Mococha,02/03/2018,9,marzo,2018,0
37,Mococha,05/03/2018,10,marzo,2018,3
38,Mococha,06/03/2018,10,marzo,2018,0
39,Mococha,07/03/2018,10,marzo,2018,0
40,Mococha,08/03/2018,10,marzo,2018,0
41,Mococha,09/03/2018,10,marzo,2018,0
42,Mococha,13/03/2018,11,marzo,2018,0
43,Mococha,14/03/2018,11,marzo,2018,0
44,Mococha,15/03/2018,11,marzo,2018,0
45,Mococha,16/03/2018,11,marzo,2018,0
46,Mococha,20/03/2018,12,marzo,2018,0
47,Mococha,21/03/2018,12,marzo,2018,0
48,Mococha,22/03/2018,12,marzo,2018,0
49,Mococha,23/03/2018,12,marzo,2018,0
50,Mococha,26/03/2018,13,marzo,2018,0
51,Mococha,27/03/2018,13,marzo,2018,0
52,Mococha,28/03/2018,13,marzo,2018,0
53,Mococha,30/03/2018,13,marzo,2018,0
54,Mococha,02/04/2018,14,abril,2018,0
55,Mococha,03/04/2018,14,abril,2018,0
56,Mococha,04/04/2018,14,abril,2018,0
57,Mococha,05/04/2018,14,abril,2018,0
58,Mococha,06/04/2018,14,abril,2018,0
59,Mococha,09/04/2018,15,abril,2018,0
60,Mococha,10/04/2018,15,abril,2018,0
61,Mococha,11/04/2018,15,abril,2018,0
62,Mococha,12/04/2018,15,abril,2018,0
63,Mococha,13/04/2018,15,abril,2018,0
64,Mococha,16/04/2018,16,abril,2018,0
65,Mococha,17/04/2018,16,abril,2018,0
66,Mococha,18/04/2018,16,abril,2018,0
67,Mococha,19/04/2018,16,abril,2018,0
68,Mococha,20/04/2018,16,abril,2018,0
69,Mococha,23/04/2018,17,abril,2018,0
70,Mococha,24/04/2018,17,abril,2018,0
71,Mococha,25/04/2018,17,abril,2018,0
72,Mococha,26/04/2018,17,abril,2018,1
73,Mococha,27/04/2018,17,abril,2018,1
74,Mococha,30/04/2018,18,abril,2018,0
75,Mococha,02/05/2018,18,mayo,2018,0
76,Mococha,03/05/2018,18,mayo,2018,0
77,Mococha,04/05/2018,18,mayo,2018,1
78,Mococha,07/05/2018,19,mayo,2018,0
79,Mococha,08/05/2018,19,mayo,2018,0
80,Mococha,09/05/2018,19,mayo,2018,0
81,Mococha,11/05/2018,19,mayo,2018,0
82,Mococha,14/05/2018,20,mayo,2018,0
83,Mococha,15/05/2018,20,mayo,2018,0
84,Mococha,16/05/2018,20,mayo,2018,0
85,Mococha,17/05/2018,20,mayo,2018,0
86,Mococha,18/05/2018,20,mayo,2018,1
87,Mococha,21/05/2018,21,mayo,2018,1
88,Mococha,22/05/2018,21,mayo,2018,1
89,Mococha,23/05/2018,21,mayo,2018,1
90,Mococha,24/05/2018,21,mayo,2018,0
91,Mococha,25/05/2018,21,mayo,2018,0
92,Mococha,28/05/2018,22,mayo,2018,0
93,Mococha,29/05/2018,22,mayo,2018,0
94,Mococha,30/05/2018,22,mayo,2018,0
95,Mococha,31/05/2018,22,mayo,2018,1
96,Mococha,03/06/2018,23,junio,2018,1
97,Mococha,04/06/2018,23,junio,2018,0
98,Mococha,05/06/2018,23,junio,2018,0
99,Mococha,06/06/2018,23,junio,2018,0
100,Mococha,07/06/2018,23,junio,2018,0
101,Mococha,08/06/2018,23,junio,2018,0
102,Mococha,11/06/2018,24,junio,2018,0
103,Mococha,12/06/2018,24,junio,2018,0
104,Mococha,13/06/2018,24,junio,2018,0
105,Mococha,14/06/2018,24,junio,2018,0
106,Mococha,15/06/2018,24,junio,2018,0
107,Mococha,18/06/2018,25,junio,2018,0
108,Mococha,19/06/2018,25,junio,2018,1
109,Mococha,20/06/2018,25,junio,2018,0
110,Mococha,21/06/2018,25,junio,2018,0
111,Mococha,22/06/2018,25,junio,2018,0
112,Mococha,25/06/2018,26,junio,2018,0
113,Mococha,26/06/2018,26,junio,2018,0
114,Mococha,27/06/2018,26,junio,2018,0
115,Mococha,28/06/2018,26,junio,2018,0
116,Mococha,29/06/2018,26,junio,2018,0
117,Mococha,02/07/2018,27,julio,2018,0
118,Mococha,03/07/2018,27,julio,2018,0
119,Mococha,04/07/2018,27,julio,2018,0
120,Mococha,05/07/2018,27,julio,2018,0
121,Mococha,06/07/2018,27,julio,2018,0
122,Mococha,09/07/2018,28,julio,2018,0
123,Mococha,10/07/2018,28,julio,2018,0
124,Mococha,11/07/2018,28,julio,2018,1
125,Mococha,12/07/2018,28,julio,2018,0
126,Mococha,13/07/2018,28,julio,2018,1
127,Mococha,16/07/2018,29,julio,2018,0
128,Mococha,17/07/2018,29,julio,2018,2
129,Mococha,18/07/2018,29,julio,2018,1
130,Mococha,19/07/2018,29,julio,2018,0
131,Mococha,20/07/2018,29,julio,2018,0
132,Mococha,23/07/2018,30,julio,2018,0
133,Mococha,24/07/2018,30,julio,2018,1
134,Mococha,25/07/2018,30,julio,2018,0
135,Mococha,26/07/2018,30,julio,2018,0
136,Mococha,27/07/2018,30,julio,2018,0
137,Mococha,30/07/2018,31,julio,2018,0
138,Mococha,31/07/2018,31,julio,2018,0
139,Mococha,01/08/2018,31,agosto,2018,0
140,Mococha,02/08/2018,31,agosto,2018,0
141,Mococha,03/08/2018,31,agosto,2018,0
142,Mococha,06/08/2018,32,agosto,2018,3
143,Mococha,07/08/2018,32,agosto,2018,1
144,Mococha,08/08/2018,32,agosto,2018,0
145,Mococha,09/08/2018,32,agosto,2018,0
146,Mococha,10/08/2018,32,agosto,2018,2
147,Mococha,13/08/2018,33,agosto,2018,0
148,Mococha,14/08/2018,33,agosto,2018,0
149,Mococha,15/08/2018,33,agosto,2018,2
150,Mococha,16/08/2018,33,agosto,2018,2
151,Mococha,17/08/2018,33,agosto,2018,1
152,Mococha,20/08/2018,34,agosto,2018,1
153,Mococha,21/08/2018,34,agosto,2018,0
154,Mococha,22/08/2018,34,agosto,2018,0
155,Mococha,23/08/2018,34,agosto,2018,0
156,Mococha,24/08/2018,34,agosto,2018,1
157,Mococha,27/08/2018,35,agosto,2018,1
158,Mococha,28/08/2018,35,agosto,2018,0
159,Mococha,29/08/2018,35,agosto,2018,1
160,Mococha,30/08/2018,35,agosto,2018,0
161,Mococha,31/08/2018,35,agosto,2018,1
162,Mococha,03/09/2018,36,septiembre,2018,2
163,Mococha,04/09/2018,36,septiembre,2018,0
164,Mococha,05/09/2018,36,septiembre,2018,1
165,Mococha,06/09/2018,36,septiembre,2018,1
166,Mococha,07/09/2018,36,septiembre,2018,1
167,Mococha,10/09/2018,37,septiembre,2018,1
168,Mococha,11/09/2018,37,septiembre,2018,2
169,Mococha,12/09/2018,37,septiembre,2018,0
170,Mococha,13/09/2018,37,septiembre,2018,2
171,Mococha,14/09/2018,37,septiembre,2018,2
172,Mococha,17/09/2018,38,septiembre,2018,1
173,Mococha,18/09/2018,38,septiembre,2018,0
174,Mococha,19/09/2018,38,septiembre,2018,0
175,Mococha,20/09/2018,38,septiembre,2018,0
176,Mococha,21/09/2018,38,septiembre,2018,1
177,Mococha,24/09/2018,39,septiembre,2018,0
178,Mococha,25/09/2018,39,septiembre,2018,0
179,Mococha,26/09/2018,39,septiembre,2018,0
180,Mococha,27/09/2018,39,septiembre,2018,1
181,Mococha,28/09/2018,39,septiembre,2018,0
182,Mococha,01/10/2018,40,octubre,2018,1
183,Mococha,02/10/2018,40,octubre,2018,3
184,Mococha,03/10/2018,40,octubre,2018,0
185,Mococha,04/10/2018,40,octubre,2018,1
186,Mococha,05/10/2018,40,octubre,2018,0
187,Mococha,08/10/2018,41,octubre,2018,1
188,Mococha,09/10/2018,41,octubre,2018,1
189,Mococha,10/10/2018,41,octubre,2018,1
190,Mococha,11/10/2018,41,octubre,2018,0
191,Mococha,12/10/2018,41,octubre,2018,4
192,Mococha,15/10/2018,42,octubre,2018,1
193,Mococha,16/10/2018,42,octubre,2018,1
194,Mococha,17/10/2018,42,octubre,2018,0
195,Mococha,18/10/2018,42,octubre,2018,0
196,Mococha,19/10/2018,42,octubre,2018,0
197,Mococha,22/10/2018,43,octubre,2018,0
198,Mococha,23/10/2018,43,octubre,2018,1
199,Mococha,24/10/2018,43,octubre,2018,0
200,Mococha,25/10/2018,43,octubre,2018,0
201,Mococha,26/10/2018,43,octubre,2018,0
202,Mococha,29/10/2018,44,octubre,2018,0
203,Mococha,30/10/2018,44,octubre,2018,1
204,Mococha,31/10/2018,44,octubre,2018,0
205,Mococha,01/11/2018,44,noviembre,2018,1
206,Mococha,05/11/2018,45,noviembre,2018,0
207,Mococha,06/11/2018,45,noviembre,2018,0
208,Mococha,07/11/2018,45,noviembre,2018,1
209,Mococha,08/11/2018,45,noviembre,2018,1
210,Mococha,09/11/2018,45,noviembre,2018,0
211,Mococha,12/11/2018,46,noviembre,2018,0
212,Mococha,13/11/2018,46,noviembre,2018,0
213,Mococha,14/11/2018,46,noviembre,2018,0
