"","extorsion_amenazas","fraude","otros","robos","sexuales","fecha"
"ene. 2013",387811,186881,318013,654698,28753,"ene. 2013"
"feb. 2013",609631,198215,411297,871176,47611,"feb. 2013"
"mar. 2013",552128,211543,379395,935783,43823,"mar. 2013"
"abr. 2013",429824,95464,246168,653262,33965,"abr. 2013"
"may. 2013",529733,173110,319851,868729,35951,"may. 2013"
"jun. 2013",597283,168933,350704,911402,53218,"jun. 2013"
"jul. 2013",498734,145262,313117,800492,26527,"jul. 2013"
"ago. 2013",544160,167892,309931,941158,51347,"ago. 2013"
"sep. 2013",444571,136954,307592,818410,28449,"sep. 2013"
"oct. 2013",523450,162819,276062,852078,19676,"oct. 2013"
"nov. 2013",689807,199689,388783,1222257,48547,"nov. 2013"
"dic. 2013",778427,231394,517538,1419596,56505,"dic. 2013"
"ene. 2014",533866,161871,302872,753173,39554,"ene. 2014"
"feb. 2014",583114,199994,375614,986456,29491,"feb. 2014"
"mar. 2014",651656,206889,387572,1051322,43987,"mar. 2014"
"abr. 2014",457264,156030,275340,751913,34113,"abr. 2014"
"may. 2014",644256,193892,302681,1023476,46649,"may. 2014"
"jun. 2014",819085,213515,413093,1078560,46887,"jun. 2014"
"jul. 2014",508852,175481,312679,814567,41692,"jul. 2014"
"ago. 2014",653838,187825,328314,985207,47786,"ago. 2014"
"sep. 2014",608106,151534,352900,957502,43036,"sep. 2014"
"oct. 2014",636270,178859,322122,1079536,52721,"oct. 2014"
"nov. 2014",835615,215948,428578,1371306,57779,"nov. 2014"
"dic. 2014",855044,304879,512986,1595444,62922,"dic. 2014"
"ene. 2015",608678,231932,347955,1061733,41802,"ene. 2015"
"feb. 2015",932471,291456,479058,1330875,47371,"feb. 2015"
"mar. 2015",937688,297252,479616,1529592,48894,"mar. 2015"
"abr. 2015",677851,238471,273169,1031134,49331,"abr. 2015"
"may. 2015",930884,298462,360054,1402212,68655,"may. 2015"
"jun. 2015",1022783,269384,492992,1430856,54860,"jun. 2015"
"jul. 2015",745482,243523,353500,1086388,24897,"jul. 2015"
"ago. 2015",946442,261856,388887,1347835,68982,"ago. 2015"
"sep. 2015",821117,225617,336879,1237221,61406,"sep. 2015"
"oct. 2015",798739,264764,362191,1125966,64253,"oct. 2015"
"nov. 2015",1225788,366848,524568,1635591,101631,"nov. 2015"
"dic. 2015",1292509,399968,591286,2267599,189892,"dic. 2015"
"ene. 2016",441201,200274,238946,684849,21283,"ene. 2016"
"feb. 2016",593140,231046,318785,895983,37538,"feb. 2016"
"mar. 2016",593469,220552,274506,887857,27655,"mar. 2016"
"abr. 2016",455001,177749,200338,716846,37168,"abr. 2016"
"may. 2016",666695,208520,284715,888245,41059,"may. 2016"
"jun. 2016",759000,262586,347220,1062547,31710,"jun. 2016"
"jul. 2016",529036,173286,221516,732173,25628,"jul. 2016"
"ago. 2016",522886,199101,248747,839611,39835,"ago. 2016"
"sep. 2016",589934,177187,284079,927860,46944,"sep. 2016"
"oct. 2016",564787,180687,241730,938674,74133,"oct. 2016"
"nov. 2016",882168,262087,314997,1328517,58098,"nov. 2016"
"dic. 2016",958387,324477,400119,1466637,107580,"dic. 2016"
"ene. 2017",558092,239753,268626,902320,38391,"ene. 2017"
"feb. 2017",644349,299821,294934,1144941,83815,"feb. 2017"
"mar. 2017",714250,324188,302943,1180944,67848,"mar. 2017"
"abr. 2017",541220,234434,207880,884298,29309,"abr. 2017"
"may. 2017",761556,319062,275084,1193842,56592,"may. 2017"
"jun. 2017",992465,370942,372758,1267494,48477,"jun. 2017"
"jul. 2017",737705,252656,268657,913748,62164,"jul. 2017"
"ago. 2017",690027,351253,263816,968864,71113,"ago. 2017"
"sep. 2017",762612,274072,294365,1164571,63568,"sep. 2017"
"oct. 2017",783143,284358,313667,1225596,68066,"oct. 2017"
"nov. 2017",1066560,399251,357444,1863865,122616,"nov. 2017"
"dic. 2017",1216806,469235,488693,2068347,148320,"dic. 2017"
"ene. 2018",427844,272260,229377,866758,60109,"ene. 2018"
"feb. 2018",553962,324317,294061,1067267,74826,"feb. 2018"
"mar. 2018",506276,341844,313218,1067467,59799,"mar. 2018"
"abr. 2018",413812,225101,228702,839156,42483,"abr. 2018"
"may. 2018",625062,308204,262556,1101121,77802,"may. 2018"
"jun. 2018",755779,264665,312731,1250732,63510,"jun. 2018"
"jul. 2018",507833,244708,227467,930897,61156,"jul. 2018"
"ago. 2018",546035,286381,254716,1049397,96466,"ago. 2018"
"sep. 2018",581113,291931,250376,1175865,96789,"sep. 2018"
"oct. 2018",651856,303014,308805,1137950,111161,"oct. 2018"
"nov. 2018",833696,387745,344298,1574109,122756,"nov. 2018"
"dic. 2018",927298,473857,381920,1644230,185708,"dic. 2018"
"ene. 2019",441608,284515,244399,882600,68596,"ene. 2019"
"feb. 2019",515062,329092,280817,1100508,70760,"feb. 2019"
"mar. 2019",636341,342925,317414,1165776,91277,"mar. 2019"
"abr. 2019",419034,224336,215257,789681,86206,"abr. 2019"
"may. 2019",563274,286723,288681,1112314,78850,"may. 2019"
"jun. 2019",670402,334226,296401,1158019,62615,"jun. 2019"
"jul. 2019",524566,265922,207672,931066,61620,"jul. 2019"
"ago. 2019",487198,291605,238614,1040595,79823,"ago. 2019"
"sep. 2019",528430,292474,229488,1107403,61882,"sep. 2019"
"oct. 2019",547786,293769,242044,1088765,84590,"oct. 2019"
"nov. 2019",735273,416422,310888,1551518,114776,"nov. 2019"
"dic. 2019",816607,484139,375938,1667922,136782,"dic. 2019"
"ene. 2020",400118,247636,227865,799859,125912,"ene. 2020"
"feb. 2020",537149,337000,266480,1017563,153865,"feb. 2020"
"mar. 2020",551942,352596,274365,1036594,144299,"mar. 2020"
"abr. 2020",363924,233558,192004,763147,100184,"abr. 2020"
"may. 2020",433664,325322,245789,966371,117141,"may. 2020"
"jun. 2020",576216,298517,267529,996106,125397,"jun. 2020"
"jul. 2020",417658,261944,195225,769920,117274,"jul. 2020"
"ago. 2020",419615,280981,210364,750846,128999,"ago. 2020"
"sep. 2020",454674,254941,222768,837773,119881,"sep. 2020"
"oct. 2020",456894,270645,185867,911712,144040,"oct. 2020"
"nov. 2020",596202,411127,293598,1202658,208905,"nov. 2020"
"dic. 2020",631683,433827,297688,1231612,193293,"dic. 2020"
"ene. 2021",493999,322774,231561,953405,153629,"ene. 2021"
"feb. 2021",600524,492780,282510,1284997,223173,"feb. 2021"
"mar. 2021",602371,450784,241725,1069893,181693,"mar. 2021"
"abr. 2021",427479,353880,170569,823545,76049,"abr. 2021"
"may. 2021",526237,447800,240683,890135,75419,"may. 2021"
"jun. 2021",742854,424210,275281,1054035,112465,"jun. 2021"
"jul. 2021",489413,352447,178275,754939,81178,"jul. 2021"
"ago. 2021",507615,324061,186226,813735,110932,"ago. 2021"
"sep. 2021",555286,370024,197971,796192,110360,"sep. 2021"
"oct. 2021",556361,492273,205252,969573,124566,"oct. 2021"
"nov. 2021",768553,560624,303928,1291666,167392,"nov. 2021"
"dic. 2021",908929,652758,329482,1353675,174053,"dic. 2021"
