fecha,total,clase
ene. 2012,387811,extorsion_amenazas
feb. 2012,609631,extorsion_amenazas
mar. 2012,552128,extorsion_amenazas
abr. 2012,429824,extorsion_amenazas
may. 2012,529733,extorsion_amenazas
jun. 2012,597283,extorsion_amenazas
jul. 2012,498734,extorsion_amenazas
ago. 2012,544160,extorsion_amenazas
sep. 2012,444571,extorsion_amenazas
oct. 2012,523450,extorsion_amenazas
nov. 2012,689807,extorsion_amenazas
dic. 2012,778427,extorsion_amenazas
ene. 2012,186881,fraude
feb. 2012,198215,fraude
mar. 2012,211543,fraude
abr. 2012,95464,fraude
may. 2012,173110,fraude
jun. 2012,168933,fraude
jul. 2012,145262,fraude
ago. 2012,167892,fraude
sep. 2012,136954,fraude
oct. 2012,162819,fraude
nov. 2012,199689,fraude
dic. 2012,231394,fraude
ene. 2012,318013,otros
feb. 2012,411297,otros
mar. 2012,379395,otros
abr. 2012,246168,otros
may. 2012,319851,otros
jun. 2012,350704,otros
jul. 2012,313117,otros
ago. 2012,309931,otros
sep. 2012,307592,otros
oct. 2012,276062,otros
nov. 2012,388783,otros
dic. 2012,517538,otros
ene. 2012,654698,robos
feb. 2012,871176,robos
mar. 2012,935783,robos
abr. 2012,653262,robos
may. 2012,868729,robos
jun. 2012,911402,robos
jul. 2012,800492,robos
ago. 2012,941158,robos
sep. 2012,818410,robos
oct. 2012,852078,robos
nov. 2012,1222257,robos
dic. 2012,1419596,robos
ene. 2012,28753,sexuales
feb. 2012,47611,sexuales
mar. 2012,43823,sexuales
abr. 2012,33965,sexuales
may. 2012,35951,sexuales
jun. 2012,53218,sexuales
jul. 2012,26527,sexuales
ago. 2012,51347,sexuales
sep. 2012,28449,sexuales
oct. 2012,19676,sexuales
nov. 2012,48547,sexuales
dic. 2012,56505,sexuales
ene. 2013,533866,extorsion_amenazas
feb. 2013,583114,extorsion_amenazas
mar. 2013,651656,extorsion_amenazas
abr. 2013,457264,extorsion_amenazas
may. 2013,644256,extorsion_amenazas
jun. 2013,819085,extorsion_amenazas
jul. 2013,508852,extorsion_amenazas
ago. 2013,653838,extorsion_amenazas
sep. 2013,608106,extorsion_amenazas
oct. 2013,636270,extorsion_amenazas
nov. 2013,835615,extorsion_amenazas
dic. 2013,855044,extorsion_amenazas
ene. 2013,161871,fraude
feb. 2013,199994,fraude
mar. 2013,206889,fraude
abr. 2013,156030,fraude
may. 2013,193892,fraude
jun. 2013,213515,fraude
jul. 2013,175481,fraude
ago. 2013,187825,fraude
sep. 2013,151534,fraude
oct. 2013,178859,fraude
nov. 2013,215948,fraude
dic. 2013,304879,fraude
ene. 2013,302872,otros
feb. 2013,375614,otros
mar. 2013,387572,otros
abr. 2013,275340,otros
may. 2013,302681,otros
jun. 2013,413093,otros
jul. 2013,312679,otros
ago. 2013,328314,otros
sep. 2013,352900,otros
oct. 2013,322122,otros
nov. 2013,428578,otros
dic. 2013,512986,otros
ene. 2013,753173,robos
feb. 2013,986456,robos
mar. 2013,1051322,robos
abr. 2013,751913,robos
may. 2013,1023476,robos
jun. 2013,1078560,robos
jul. 2013,814567,robos
ago. 2013,985207,robos
sep. 2013,957502,robos
oct. 2013,1079536,robos
nov. 2013,1371306,robos
dic. 2013,1595444,robos
ene. 2013,39554,sexuales
feb. 2013,29491,sexuales
mar. 2013,43987,sexuales
abr. 2013,34113,sexuales
may. 2013,46649,sexuales
jun. 2013,46887,sexuales
jul. 2013,41692,sexuales
ago. 2013,47786,sexuales
sep. 2013,43036,sexuales
oct. 2013,52721,sexuales
nov. 2013,57779,sexuales
dic. 2013,62922,sexuales
ene. 2014,608678,extorsion_amenazas
feb. 2014,932471,extorsion_amenazas
mar. 2014,937688,extorsion_amenazas
abr. 2014,677851,extorsion_amenazas
may. 2014,930884,extorsion_amenazas
jun. 2014,1022783,extorsion_amenazas
jul. 2014,745482,extorsion_amenazas
ago. 2014,946442,extorsion_amenazas
sep. 2014,821117,extorsion_amenazas
oct. 2014,798739,extorsion_amenazas
nov. 2014,1225788,extorsion_amenazas
dic. 2014,1292509,extorsion_amenazas
ene. 2014,231932,fraude
feb. 2014,291456,fraude
mar. 2014,297252,fraude
abr. 2014,238471,fraude
may. 2014,298462,fraude
jun. 2014,269384,fraude
jul. 2014,243523,fraude
ago. 2014,261856,fraude
sep. 2014,225617,fraude
oct. 2014,264764,fraude
nov. 2014,366848,fraude
dic. 2014,399968,fraude
ene. 2014,347955,otros
feb. 2014,479058,otros
mar. 2014,479616,otros
abr. 2014,273169,otros
may. 2014,360054,otros
jun. 2014,492992,otros
jul. 2014,353500,otros
ago. 2014,388887,otros
sep. 2014,336879,otros
oct. 2014,362191,otros
nov. 2014,524568,otros
dic. 2014,591286,otros
ene. 2014,1061733,robos
feb. 2014,1330875,robos
mar. 2014,1529592,robos
abr. 2014,1031134,robos
may. 2014,1402212,robos
jun. 2014,1430856,robos
jul. 2014,1086388,robos
ago. 2014,1347835,robos
sep. 2014,1237221,robos
oct. 2014,1125966,robos
nov. 2014,1635591,robos
dic. 2014,2267599,robos
ene. 2014,41802,sexuales
feb. 2014,47371,sexuales
mar. 2014,48894,sexuales
abr. 2014,49331,sexuales
may. 2014,68655,sexuales
jun. 2014,54860,sexuales
jul. 2014,24897,sexuales
ago. 2014,68982,sexuales
sep. 2014,61406,sexuales
oct. 2014,64253,sexuales
nov. 2014,101631,sexuales
dic. 2014,189892,sexuales
ene. 2015,441201,extorsion_amenazas
feb. 2015,593140,extorsion_amenazas
mar. 2015,593469,extorsion_amenazas
abr. 2015,455001,extorsion_amenazas
may. 2015,666695,extorsion_amenazas
jun. 2015,759000,extorsion_amenazas
jul. 2015,529036,extorsion_amenazas
ago. 2015,522886,extorsion_amenazas
sep. 2015,589934,extorsion_amenazas
oct. 2015,564787,extorsion_amenazas
nov. 2015,882168,extorsion_amenazas
dic. 2015,958387,extorsion_amenazas
ene. 2015,200274,fraude
feb. 2015,231046,fraude
mar. 2015,220552,fraude
abr. 2015,177749,fraude
may. 2015,208520,fraude
jun. 2015,262586,fraude
jul. 2015,173286,fraude
ago. 2015,199101,fraude
sep. 2015,177187,fraude
oct. 2015,180687,fraude
nov. 2015,262087,fraude
dic. 2015,324477,fraude
ene. 2015,238946,otros
feb. 2015,318785,otros
mar. 2015,274506,otros
abr. 2015,200338,otros
may. 2015,284715,otros
jun. 2015,347220,otros
jul. 2015,221516,otros
ago. 2015,248747,otros
sep. 2015,284079,otros
oct. 2015,241730,otros
nov. 2015,314997,otros
dic. 2015,400119,otros
ene. 2015,684849,robos
feb. 2015,895983,robos
