"","fecha","tipo","total","Fecha"
"01-2013","01-2013","Robo total de vehículo",49935,ene. 2013
"02-2013","02-2013","Robo total de vehículo",54674,feb. 2013
"03-2013","03-2013","Robo total de vehículo",48588,mar. 2013
"04-2013","04-2013","Robo total de vehículo",36967,abr. 2013
"05-2013","05-2013","Robo total de vehículo",44461,may. 2013
"06-2013","06-2013","Robo total de vehículo",48206,jun. 2013
"07-2013","07-2013","Robo total de vehículo",42698,jul. 2013
"08-2013","08-2013","Robo total de vehículo",51352,ago. 2013
"09-2013","09-2013","Robo total de vehículo",38558,sep. 2013
"10-2013","10-2013","Robo total de vehículo",36264,oct. 2013
"11-2013","11-2013","Robo total de vehículo",54536,nov. 2013
"12-2013","12-2013","Robo total de vehículo",50535,dic. 2013
"01-20131","01-2013","Robo parcial de vehículo",172393,ene. 2013
"02-20131","02-2013","Robo parcial de vehículo",274710,feb. 2013
"03-20131","03-2013","Robo parcial de vehículo",273955,mar. 2013
"04-20131","04-2013","Robo parcial de vehículo",172226,abr. 2013
"05-20131","05-2013","Robo parcial de vehículo",236445,may. 2013
"06-20131","06-2013","Robo parcial de vehículo",282394,jun. 2013
"07-20131","07-2013","Robo parcial de vehículo",233817,jul. 2013
"08-20131","08-2013","Robo parcial de vehículo",237898,ago. 2013
"09-20131","09-2013","Robo parcial de vehículo",202080,sep. 2013
"10-20131","10-2013","Robo parcial de vehículo",229953,oct. 2013
"11-20131","11-2013","Robo parcial de vehículo",315936,nov. 2013
"12-20131","12-2013","Robo parcial de vehículo",309315,dic. 2013
"01-20132","01-2013","Vandalismo",268068,ene. 2013
"02-20132","02-2013","Vandalismo",322317,feb. 2013
"03-20132","03-2013","Vandalismo",301186,mar. 2013
"04-20132","04-2013","Vandalismo",198058,abr. 2013
"05-20132","05-2013","Vandalismo",256785,may. 2013
"06-20132","06-2013","Vandalismo",285316,jun. 2013
"07-20132","07-2013","Vandalismo",239674,jul. 2013
"08-20132","08-2013","Vandalismo",228906,ago. 2013
"09-20132","09-2013","Vandalismo",228473,sep. 2013
"10-20132","10-2013","Vandalismo",203936,oct. 2013
